"","business.txt","culture.txt","datademirutottori.txt","opinion.txt","press_release.txt","public.txt"
"アドバンテージ",1,0,0,0,0,0
"アドビ",0,0,0,1,0,0
"あなた",7,0,0,13,0,0
"アナリスト",1,0,0,0,0,0
"アナログ",0,0,0,1,0,0
"アニメ",1,0,0,0,0,0
"アバウト",0,0,1,0,0,0
"アピール",4,0,0,0,0,0
"アフター",4,0,0,11,0,5
"アプリ",8,0,2,4,0,0
"アフリカ",0,0,0,1,0,0
"アプローチ",0,0,0,2,0,0
"アマゾンラテルナ",0,0,0,0,5,0
"アマビエ",0,0,0,0,0,1
"あまり",1,0,0,1,0,0
"アミューズメント",0,0,0,0,0,1
"アメリカ",10,0,3,1,0,0
"アラート",1,0,0,0,0,0
"アリーナ",0,0,0,1,0,0
"ありがたい",0,0,0,0,0,2
"あり方",2,0,2,6,0,0
"アルコール",3,0,0,0,0,1
"アルジェリア",0,0,0,1,0,0
"アルバイト",4,0,0,2,0,3
"アルベール",0,0,0,1,0,0
"アンクリエイティブ",0,0,0,1,0,0
"アンケート",6,0,0,2,0,0
"アンチテーゼ",1,0,0,0,0,0
"アントプレナー",0,0,0,1,0,0
"アンニュイ",0,0,0,1,0,0
"アンバサダー",0,0,0,1,0,0
"い",3,4,0,0,0,0
"いい",16,0,1,11,1,1
"イオン",0,0,0,1,0,0
"いか",3,0,0,0,0,0
"いかが",4,0,2,1,0,4
"イキナセカイ",0,0,0,1,0,0
"イギリス",0,0,1,2,0,0
"いくつ",9,0,0,3,1,4
"イコール",0,0,1,0,0,0
"イサキ",0,0,0,1,0,0
"イシュー",2,0,0,1,0,0
"いずれ",0,0,0,2,0,0
"イタリア",1,0,0,4,0,2
"いち",1,0,0,0,0,0
"いち早い",0,0,0,1,0,0
"いつ",4,0,1,1,3,0
"いつか",0,0,0,1,0,0
"いっぱい",1,0,0,0,0,0
"イッポラボ",0,0,0,2,0,0
"イニシアチブ",2,0,0,0,0,0
"イノシシ",0,0,0,1,0,0
"イノベーション",20,0,0,5,0,0
"いびつ",0,0,1,0,0,0
"イベント",5,0,1,5,1,5
"いま",0,0,0,3,0,0
"イメージ",6,0,9,4,1,1
"イヤー",1,0,0,1,0,0
"イラスト",0,0,0,0,0,1
"イレブン",0,0,0,0,0,2
"いろいろ",1,0,0,0,0,0
"イン",6,0,2,0,0,0
"インスタント",1,0,0,0,0,1
"インストール",0,0,0,2,0,0
"インセンティブ",2,0,0,1,0,0
"インターネット",7,0,7,7,0,2
"インターン",0,0,1,0,0,0
"インターンシップ",1,0,0,7,0,0
"インダス",0,0,1,0,0,0
"インタビュー",5,5,0,10,0,0
"インパクト",0,0,0,0,1,0
"インフォデミック",0,0,0,1,0,0
"インプット",4,0,0,0,0,0
"インフラ",7,0,2,0,0,0
"インフルエンザ",0,0,0,0,0,1
"ウィズ",0,0,0,1,0,0
"ウィルス",0,0,0,1,9,0
"ウイルス",35,0,27,10,3,61
"ウーバーイーツ",1,0,0,0,0,0
"うえ",4,0,0,1,0,0
"ウエスト",1,0,0,0,0,0
"ヴェネツィア",0,0,0,1,0,0
"ウェルカニキャンペーン",0,0,0,0,1,0
"ウォーターフォールチャート",1,0,0,0,0,0
"うち",11,0,2,3,1,0
"うつわ",1,0,0,0,0,0
"うつ病",1,0,0,0,0,0
"うどん",0,0,0,0,0,5
"うまい",7,0,0,3,0,0
"うめ",1,0,0,0,0,0
"うれしい",0,0,0,0,0,1
"ぇ",0,0,0,1,0,0
"エアコン",1,0,0,0,0,0
"エース",0,0,0,1,0,0
